2015-12-21 00:11:01 INFO     connecting play.google.com:443 from 118.249.146.68:60745
2015-12-21 00:11:05 INFO     connecting play.google.com:443 from 118.249.146.68:60751
2015-12-21 00:11:35 INFO     connecting client-cf.dropbox.com:443 from 118.249.146.68:60757
2015-12-21 00:11:50 INFO     connecting clients4.google.com:443 from 118.249.146.68:60763
2015-12-21 00:12:28 INFO     connecting plus.google.com:443 from 118.249.146.68:60769
2015-12-21 00:12:38 ERROR    [Errno 104] Connection reset by peer
2015-12-21 00:13:08 INFO     connecting clients4.google.com:443 from 118.249.146.68:60773
2015-12-21 00:14:00 INFO     connecting mail.google.com:443 from 118.249.146.68:60781
2015-12-21 00:14:15 INFO     connecting dl-debug.dropbox.com:443 from 118.249.146.68:60785
2015-12-21 00:19:04 INFO     connecting mail.google.com:443 from 118.249.146.68:60817
2015-12-21 00:19:08 ERROR    [Errno 104] Connection reset by peer
2015-12-21 00:20:34 INFO     connecting client-cf.dropbox.com:443 from 118.249.146.68:60830
2015-12-21 00:20:38 ERROR    [Errno 104] Connection reset by peer
2015-12-21 00:20:38 ERROR    [Errno 104] Connection reset by peer
2015-12-21 00:21:47 INFO     connecting clients6.google.com:443 from 118.249.146.68:60836
2015-12-21 00:21:53 INFO     connecting plus.google.com:443 from 118.249.146.68:60846
2015-12-21 00:21:54 INFO     connecting clients6.google.com:443 from 118.249.146.68:60848
2015-12-21 00:22:08 ERROR    [Errno 104] Connection reset by peer
2015-12-21 00:22:08 ERROR    [Errno 104] Connection reset by peer
2015-12-21 00:22:55 INFO     connecting clients4.google.com:443 from 118.249.146.68:60852
2015-12-21 00:23:07 INFO     connecting play.google.com:443 from 118.249.146.68:60860
2015-12-21 00:23:08 INFO     connecting play.google.com:443 from 118.249.146.68:60864
2015-12-21 00:23:08 ERROR    [Errno 104] Connection reset by peer
2015-12-21 00:23:08 ERROR    [Errno 104] Connection reset by peer
2015-12-21 00:23:33 INFO     connecting client-cf.dropbox.com:443 from 118.249.146.68:60874
2015-12-21 00:23:38 ERROR    [Errno 104] Connection reset by peer
2015-12-21 00:25:27 INFO     connecting client-cf.dropbox.com:443 from 118.249.146.68:60911
2015-12-21 00:29:37 INFO     connecting mail.google.com:443 from 118.249.146.68:60940
2015-12-21 00:31:02 INFO     connecting clients4.google.com:443 from 118.249.146.68:60964
2015-12-21 00:32:01 INFO     connecting play.google.com:443 from 118.249.146.68:60969
2015-12-21 00:32:02 INFO     connecting clients6.google.com:443 from 118.249.146.68:60973
2015-12-21 00:32:03 INFO     connecting clients6.google.com:443 from 118.249.146.68:60981
2015-12-21 00:32:06 INFO     connecting clients6.google.com:443 from 118.249.146.68:60983
2015-12-21 00:32:08 ERROR    [Errno 104] Connection reset by peer
2015-12-21 00:32:11 INFO     connecting plus.google.com:443 from 118.249.146.68:60987
2015-12-21 00:34:19 INFO     connecting 1.client-channel.google.com:443 from 118.249.146.68:61001
2015-12-21 00:35:01 INFO     connecting play.google.com:443 from 118.249.146.68:61005
2015-12-21 00:36:56 INFO     connecting clients4.google.com:443 from 118.249.146.68:61014
2015-12-21 00:37:13 INFO     connecting clients5.google.com:443 from 118.249.146.68:61018
2015-12-21 00:37:45 INFO     connecting accounts.google.com:443 from 118.249.146.68:61034
2015-12-21 00:37:49 INFO     connecting accounts.google.com:443 from 118.249.146.68:61040
2015-12-21 00:38:09 ERROR    [Errno 104] Connection reset by peer
2015-12-21 00:39:15 INFO     connecting dl-debug.dropbox.com:443 from 118.249.146.68:61066
2015-12-21 00:39:40 INFO     connecting clients4.google.com:443 from 118.249.146.68:61072
2015-12-21 00:39:40 INFO     connecting mail.google.com:443 from 118.249.146.68:61076
2015-12-21 00:41:50 INFO     connecting clients4.google.com:443 from 118.249.146.68:61085
2015-12-21 00:41:57 INFO     connecting clients6.google.com:443 from 118.249.146.68:61091
2015-12-21 00:41:58 INFO     connecting clients6.google.com:443 from 118.249.146.68:61099
2015-12-21 00:42:02 INFO     connecting clients6.google.com:443 from 118.249.146.68:61101
2015-12-21 00:42:09 ERROR    [Errno 104] Connection reset by peer
2015-12-21 00:42:41 INFO     connecting plus.google.com:443 from 118.249.146.68:61109
2015-12-21 00:42:43 INFO     connecting www.google.com:443 from 118.249.146.68:61113
2015-12-21 00:42:51 INFO     connecting 2.client-channel.google.com:443 from 118.249.146.68:61119
2015-12-21 00:43:20 INFO     connecting notify8.dropbox.com:443 from 118.249.146.68:61126
2015-12-21 00:45:08 INFO     connecting clients4.google.com:443 from 118.249.146.68:61137
2015-12-21 00:47:01 INFO     connecting play.google.com:443 from 118.249.146.68:61145
2015-12-21 00:52:03 INFO     connecting clients6.google.com:443 from 118.249.146.68:61197
2015-12-21 00:52:04 INFO     connecting clients6.google.com:443 from 118.249.146.68:61201
2015-12-21 00:52:29 INFO     connecting plus.google.com:443 from 118.249.146.68:61206
2015-12-21 00:54:43 INFO     connecting mail.google.com:443 from 118.249.146.68:61222
2015-12-21 00:57:43 INFO     connecting clients4.google.com:443 from 118.249.146.68:61251
2015-12-21 00:57:57 INFO     connecting clients6.google.com:443 from 118.249.146.68:61257
2015-12-21 00:57:58 INFO     connecting clients6.google.com:443 from 118.249.146.68:61261
2015-12-21 00:58:09 ERROR    [Errno 104] Connection reset by peer
2015-12-21 00:58:09 ERROR    [Errno 104] Connection reset by peer
2015-12-21 00:59:01 INFO     connecting play.google.com:443 from 118.249.146.68:61291
2015-12-21 00:59:02 INFO     connecting play.google.com:443 from 118.249.146.68:61295
2015-12-21 01:00:39 INFO     connecting clients4.google.com:443 from 118.249.146.68:61307
2015-12-21 01:01:56 INFO     connecting plus.google.com:443 from 118.249.146.68:61312
2015-12-21 01:04:47 INFO     connecting mail.google.com:443 from 118.249.146.68:61326
2015-12-21 01:09:06 INFO     connecting clients4.google.com:443 from 118.249.146.68:61356
2015-12-21 01:10:03 INFO     connecting clients6.google.com:443 from 118.249.146.68:61370
2015-12-21 01:10:04 INFO     connecting clients6.google.com:443 from 118.249.146.68:61374
2015-12-21 01:10:09 ERROR    [Errno 104] Connection reset by peer
2015-12-21 01:10:09 ERROR    [Errno 104] Connection reset by peer
2015-12-21 01:11:01 INFO     connecting play.google.com:443 from 118.249.146.68:61381
2015-12-21 01:11:02 INFO     connecting play.google.com:443 from 118.249.146.68:61385
2015-12-21 01:11:45 INFO     connecting plus.google.com:443 from 118.249.146.68:61393
2015-12-21 01:11:50 INFO     connecting clients4.google.com:443 from 118.249.146.68:61397
2015-12-21 01:14:49 INFO     connecting mail.google.com:443 from 118.249.146.68:61410
2015-12-21 01:18:45 INFO     connecting clients4.google.com:443 from 118.249.146.68:61445
2015-12-21 01:18:56 INFO     connecting client-cf.dropbox.com:443 from 118.249.146.68:61449
2015-12-21 01:19:18 INFO     connecting clients2.google.com:443 from 118.249.146.68:61453
2015-12-21 01:19:26 INFO     connecting clients2.googleusercontent.com:443 from 118.249.146.68:61463
2015-12-21 01:19:39 ERROR    [Errno 104] Connection reset by peer
2015-12-21 01:19:39 ERROR    [Errno 104] Connection reset by peer
2015-12-21 01:20:29 INFO     connecting d.dropbox.com:443 from 118.249.146.68:61472
2015-12-21 01:21:11 INFO     connecting client-cf.dropbox.com:443 from 118.249.146.68:61480
2015-12-21 01:21:59 INFO     connecting clients6.google.com:443 from 118.249.146.68:61485
2015-12-21 01:22:00 INFO     connecting clients6.google.com:443 from 118.249.146.68:61489
2015-12-21 01:22:31 INFO     connecting play.google.com:443 from 118.249.146.68:61493
2015-12-21 01:22:31 INFO     connecting www.google.com:443 from 118.249.146.68:61505
2015-12-21 01:22:32 INFO     connecting play.google.com:443 from 118.249.146.68:61509
2015-12-21 01:22:55 INFO     connecting plus.google.com:443 from 118.249.146.68:61515
2015-12-21 01:23:09 ERROR    [Errno 104] Connection reset by peer
2015-12-21 01:24:05 INFO     connecting mail.google.com:443 from 118.249.146.68:61530
2015-12-21 01:24:08 INFO     connecting accounts.google.com:443 from 118.249.146.68:61546
2015-12-21 01:24:08 INFO     connecting hangouts.google.com:443 from 118.249.146.68:61550
2015-12-21 01:24:08 INFO     connecting apis.google.com:443 from 118.249.146.68:61545
2015-12-21 01:24:08 INFO     connecting ssl.gstatic.com:443 from 118.249.146.68:61554
2015-12-21 01:24:08 INFO     connecting clients4.google.com:443 from 118.249.146.68:61563
2015-12-21 01:24:11 INFO     connecting clients5.google.com:443 from 118.249.146.68:61568
2015-12-21 01:24:11 INFO     connecting lh6.googleusercontent.com:443 from 118.249.146.68:61566
2015-12-21 01:24:13 INFO     connecting clients2.google.com:443 from 118.249.146.68:61576
2015-12-21 01:24:14 INFO     connecting oauth.googleusercontent.com:443 from 118.249.146.68:61580
2015-12-21 01:24:15 INFO     connecting mail-attachment.googleusercontent.com:443 from 118.249.146.68:61582
2015-12-21 01:24:16 INFO     connecting pagead2.googlesyndication.com:443 from 118.249.146.68:61589
2015-12-21 01:24:17 INFO     connecting 3.client-channel.google.com:443 from 118.249.146.68:61597
2015-12-21 01:24:19 INFO     connecting pagead2.googlesyndication.com:443 from 118.249.146.68:61600
2015-12-21 01:24:20 INFO     connecting clients4.google.com:443 from 118.249.146.68:61602
2015-12-21 01:24:21 INFO     connecting safebrowsing.google.com:443 from 118.249.146.68:61606
2015-12-21 01:24:31 ERROR    [Errno 104] Connection reset by peer
2015-12-21 01:24:31 ERROR    [Errno 104] Connection reset by peer
2015-12-21 01:24:31 ERROR    [Errno 104] Connection reset by peer
2015-12-21 01:24:31 ERROR    [Errno 104] Connection reset by peer
2015-12-21 01:24:31 ERROR    [Errno 104] Connection reset by peer
2015-12-21 01:24:54 INFO     connecting csi.gstatic.com:443 from 118.249.146.68:61639
2015-12-21 01:24:56 INFO     connecting plus.google.com:443 from 118.249.146.68:61643
2015-12-21 01:25:14 INFO     connecting drive.google.com:443 from 118.249.146.68:61648
2015-12-21 01:25:19 INFO     connecting content.googleapis.com:443 from 118.249.146.68:61652
2015-12-21 01:25:37 INFO     connecting client-cf.dropbox.com:443 from 118.249.146.68:61656
2015-12-21 01:26:28 INFO     connecting accounts.google.com:443 from 118.249.146.68:61664
2015-12-21 01:26:31 INFO     connecting clients5.google.com:443 from 118.249.146.68:61666
2015-12-21 01:26:39 ERROR    [Errno 104] Connection reset by peer
2015-12-21 01:26:44 INFO     connecting www.youtube.com:443 from 118.249.146.68:61674
